,PEO#,compound,,Lambda Max (DCM/AcCN),Lambda Max (neat film),phase map,"r33 (neat, assuming ne=1.7, no=1.5)",CAMB3LYP SVPD CHCl3 (Cosmo),,B3LYP SVPD CHCl3,,,DSC melt (total),,,,location,,,,
,PEO-0174,,756.73,,,Cr - 204 - Cr2 - 211 - N; N - 167 - FN - 150 - Cr; Tg=61,,,,,,,,0,,,,,,,
,PEO-0175,,728.65,504,,Cr - 207 - FN - >240 - N; Tg = 71C; crystals slowly grow on cooling,71,,,,,,,0,,,,,,,
,PEO-0176,,732.64,,,Cr - 230 - FN - 240 - N (decomp).  Significant demethylation observed at 240C,,,,,,,,0,,,,,,,
,PEO-0177,,660.67,541,,Cr - 210 - I; I - 203 - N - 140 - Cr; virtual FN transion in 50/50 mixture of 81C ,,,,,,,,0,,,,,,,
,PEO-0178,,744.74,554,,Cr - 235 - N; N - 130 - FN; Tg = 78C (had to quench DSC sample-- may have been some decomp at the melt),,,,,,,,0,,,,,,,
,PEO-0179,,646.62,535,,Cr - 250 - decomp; tried to cool as quickly as possible and did observe an N phase at 230C but quickly crystallized before any other phase could be observed.  ,,,,,,,,0,,,,,,,
,PEO-0180,,744.69,532,,Cr - 230 - N; N - ~175 - FN (transition temps could be higher since only 0.5mg total product was isolated),,,,,,,,0,,,,,,,
,PEO-0181,,738.74,531,,Cr - 206 - N; N - 155 - FN - glass; glass - 115 - Cr,,,,,,,,0,,,,,,,
,PEO-0182,,752.74,527,,Cr - 238 - N - decomp; N - 176 - FN - 75 - glass; glass - 112 - Cr ,,,,,,,,0,,,,,,,
,PEO-0183,,766.79,,,Cr - 199 - N; N - 125 - FN - 62 - glass,65,,,,,,,0,,,,,,,
,PEO-0184,,786.75,,,"Cr - 245 - I (some fragmentation azo between B-C rings, but no dealkylated products; ",,,,,,,,0,,,,,,,
,PEO-0185,,781.76,,,Cr - 243 - I (decomp),,,,,,,,0,,,,,,,
,PEO-0186,,796.79,,,Cr - 222 - N - 128*(virtual) FN - 72 - glass; slow crystallization on cooling and no sign of a FN phase ,,,,,,,,0,,,,,,,
,PEO-0187,,743.77,583,,Cr - 225 - Cr2 - 250 decomp; Crystals from EtOAc just melt at 225C with no higher melting crystals observed.  No FN phase was observed on cooling of which melted at 225C.  ,,,,,,,,0,,confirmed with NMR that we had the undesired orientation of the triazole,,,,,
,PEO-0188,,784.78,,,Cr - 202 - Cr - 210 - N; N - 158 - FN - Cr (crystals start quickly growing around 170C),,,,,,,,0,,,,,,,
,PEO-0189,,753.71,540,,Cr - 227 - (decomp) - N - 79 - glass; No sign of FN on cooling.  Virtual FN transition in mixtures of ~140C,,,,,,,,0,,,,,,,
,PEO-0190,,759.76,,,Cr - 245 - I (some decomp); no LC phase observed on cooling,,,,,,,,0,,impure material,,,,,
,PEO-0191,,756.74,,571,Cr - 150-160 - Cr2 - 225 - N; N - 175 - FN - 90* - glass. *Tg estimated from binary mixture;   FN phase only observed from films ,,,,,,,,0,,,,,,,
,PEO-0192,,789.79,,,"Cr - 240 - I (some decomp); I - 230 - N - 93 - glass.  Binary mixture exp showed a FN phase ~140C.  Viscosity at that temperature of neat material appears very high, so it is possible that is why I'm not observing it.",,,,,,,,0,,,,,,,
,PEO-0193,,731.73,,,Cr - >280C (never melted),,,,,,,,0,,,,,,,
,PEO-0194,,764.8,,,Cr - 165 - N; N - 133 - FN,,,,,,,,0,,,,,,,
,PEO-0195,,914.93,,,Cr - 203 - NF - 210 - N;,,,,,,,,0,,,,,,,
,PEO-0196,,820.86,,,Cr - 201 - I; I - 180 - N - 122 - FN - 70 - FNG; Cr1 - 165 - Cr2 - 185 - Cr3 - 201 - I,,,,,,,,0,,,,,,,
,PEO-0197,,992.92,519,,Cr - 246 - N; N - 225 - FN - 95 - FNG,,,,,,,,0,,,,,,,
,PEO-0198,,970.99,521,,Cr - 178 - FN; N - 206 - FN - 77 - FNG; crystals from cyclopentanone melt at 196C ,58,,,,,,,0,1.95,,,,,,
,PEO-0199,,924.95,,,Cr - 222 - N; N - 220 - FN - 89 - FNG,,,,,,,,0,,,,,,,
,PEO-0200,,936.94,551,,Cr - 235 - I - decomp; NF - 213 - N - 225 - I,,,,,,,,0,,,,,,,
,PEO-0201,,942.94,,,Cr - 195 - FN - 86.5 - FNG; a few crystals growing after 3h at 125C.  Those melt at 185C.   ,,,,,,,,0,,,,,,,
,PEO-0202,,1093.07,,,Cr - 195 - FN - 87 - FNG ; crystals are observed on cooling ,,,,,,,,0,,,,,,,
,PEO-0203,,1077.1,,,Cr - 199 - FN > 250C; FN - 84 - FNG.  No crystals after 68h 100C ,55,,,,,,,0,,,,,,,
,PEO-0204,,942.94,,,Cr - 169 - FN (brd); FN - 84.5 - FNG,,,,,,,,0,,,,,,,
,PEO-0205,,792.81,,,Cr - 240 - N; N -220 - Cr ,,,,,,,,0,,,,,,,
,PEO-0206,,970.97,,,Cr - 160 - Cr2 - 185 - FN - 85 - FNG; No crystals after 100C 16h,51,,,,,,,0,1.91/1.50,,,,,,
,PEO-0207,,983,524,,"Cr - 150 - FN - 194 - N; NF - 83 - FNG; no crystals after 24h at 120C, and no change in transition temp",,,,,,,21.6,21.2328,,,,,,,
,PEO-0208,,954.95,524,,Cr - 160 - Cr2 - 176 - FN - 215 - N; FN - 90 - FNG ; some crystals after 5 days at 100C--> melt at ~180,,,,,,,,0,,,,,,,
,PEO-0209,,942.91,523,,Cr - 171 - Cr2 - 214 - FN; FN - 91.5 - FNG; no crystals after sitting over the weekend at 100C,,,,,,,,0,,,,,,,
,PEO-0210,,963,,,Cr - 245 - N; N - 230 - Cr.  FNG - 107 - FN,,,,,,,,0,,,,,,,
,PEO-0211,,967,512,,Cr - 206 - Cr2 - 244 - N; N - 185 - FN - 96 - FNG,,,,,,,,0,,,,,,,
,PEO-0212,,1069.12,,,Cr - 251 - N; N - 205 - FN - 108 - FNG,,,,,,,,0,,,,,,,
,PEO-0213,,974.98,,,Cr - 252 - N; N - 240 - Cr; quenching DSC sample after melt: FN - 101 - FNG but LCMS shows significant decomp,,,,,,,,0,,,,,,,
,PEO-0214,,974.98,,,Cr - 265 - N (decomp); FNG - 97 - FN - 210 - N ,,,,,,,,0,,,,,,,
,PEO-0215,,1133.15,519,,Cr - 225 - N - Cr - 248 - N; N - 206 - FN - 96 - FNG,,,,,,,,0,,,,,,,
,PEO-0216,,982.98,537,,Cr - 157 - FN - Cr - 202 - FN - 210 - I; FNG - 95 - FN,,,,,,,,0,,,,,,,
,PEO-0217,,,,,,,,,,,,,#DIV/0!,,,,,,,
,PEO-0218,,,,,,,,,,,,,#DIV/0!,,,,,,,
,PEO-0219,,,,,,,,,,,,,#DIV/0!,,,,,,,
,PEO-0220,,,,,,,,,,,,,#DIV/0!,,,,,,,
,PEO-0221,,,,,,,,,,,,,#DIV/0!,,,,,,,
,PEO-0222,,,,,,,,,,,,,#DIV/0!,,,,,,,
,PEO-0223,,,,,,,,,,,,,#DIV/0!,,,,,,,
,,,,,,,,,,,,,,#DIV/0!,,,,,,,
,,,,,,,,,,,,,,#DIV/0!,,,,,,,
,,,,,,,,,,,,,,#DIV/0!,,,,,,,
,,,,,,,,,,,,,,#DIV/0!,,,,,,,
,,,,,,,,,,,,,,#DIV/0!,,,,,,,
,,,,,,,,,,,,,,#DIV/0!,,,,,,,
,,,,,,,,,,,,,,#DIV/0!,,,,,,,
,,,,,,,,,,,,,,#DIV/0!,,,,,,,
,,,,,,,,,,,,,,#DIV/0!,,,,,,,
,,,,,,,,,,,,,,#DIV/0!,,,,,,,
,,,,,,,,,,,,,,#DIV/0!,,,,,,,
,,,,,,,,,,,,,,#DIV/0!,,,,,,,
,,,,,,,,,,,,,,#DIV/0!,,,,,,,
,,,,,,,,,,,,,,#DIV/0!,,,,,,,
,,,,,,,,,,,,,,#DIV/0!,,,,,,,
,,,,,,,,,,,,,,#DIV/0!,,,,,,,
,,,,,,,,,,,,,,#DIV/0!,,,,,,,
,,,,,,,,,,,,,,#DIV/0!,,,,,,,
,,,,,,,,,,,,,,#DIV/0!,,,,,,,
,,,,,,,,,,,,,,#DIV/0!,,,,,,,
,,,,,,,,,,,,,,#DIV/0!,,,,,,,
,,,,,,,,,,,,,,#DIV/0!,,,,,,,
,,,,,,,,,,,,,,#DIV/0!,,,,,,,
,,,,,,,,,,,,,,#DIV/0!,,,,,,,
,,,,,,,,,,,,,,#DIV/0!,,,,,,,
,,,,,,,,,,,,,,#DIV/0!,,,,,,,
,,,,,,,,,,,,,,#DIV/0!,,,,,,,
,,,,,,,,,,,,,,#DIV/0!,,,,,,,
,,,,,,,,,,,,,,#DIV/0!,,,,,,,
